date,cold,flu,pneumonia,coronavirus
01/01/2016,0.11663,0.0559,0.15726,0.00736
02/01/2016,0.13372,0.17135,0.20826,0.0089
03/01/2016,0.14917,0.22317,0.19326,0.00845
04/01/2016,0.17463,0.18626,0.29008,0.01145
05/01/2016,0.17226,0.15072,0.24562,0.01381
06/01/2016,0.17272,0.14399,0.25081,0.01381
07/01/2016,0.1739,0.12408,0.25135,0.0119
08/01/2016,0.16735,0.12499,0.29044,0.01572
09/01/2016,0.13463,0.1019,0.2439,0.01036
10/01/2016,0.15135,0.33062,0.21108,0.00699
11/01/2016,0.18444,0.50643,0.26353,0.01299
12/01/2016,0.17963,0.34608,0.21962,0.01572
13/01/2016,0.17026,0.23244,0.22717,0.01163
14/01/2016,0.16535,0.40198,0.21962,0.01227
15/01/2016,0.16999,0.40853,0.2199,0.01081
16/01/2016,0.14081,0.22972,0.17163,0.00727
17/01/2016,0.1499,0.20881,0.15617,0.00599
18/01/2016,0.18926,0.30953,0.23681,0.01118
19/01/2016,0.17472,0.24899,0.19699,0.0129
20/01/2016,0.1739,0.24317,0.19663,0.01145
21/01/2016,0.16954,0.24217,0.19199,0.01245
22/01/2016,0.1589,0.23017,0.1849,0.01345
23/01/2016,0.14354,0.24471,0.14881,0.00963
24/01/2016,0.15554,0.22708,0.12599,0.00609
25/01/2016,0.18708,0.34608,0.20835,0.00927
26/01/2016,0.17026,0.35026,0.19226,0.01136
27/01/2016,0.5158,0.33535,0.19799,0.01054
28/01/2016,0.18508,0.37526,0.20208,0.01454
29/01/2016,0.16663,0.37398,0.19772,0.01499
30/01/2016,0.14799,0.35298,0.16263,0.00881
31/01/2016,0.15363,0.35371,0.14126,0.0099
01/02/2016,0.19844,0.64398,0.21481,0.01409
02/02/2016,0.20026,0.62743,0.2059,0.0129
03/02/2016,0.2019,0.61498,0.20508,0.01172
04/02/2016,0.21681,0.76734,0.21335,0.0109
05/02/2016,0.2179,0.92333,0.20935,0.01427
06/02/2016,0.17563,0.99815,0.18508,0.00881
07/02/2016,0.17154,0.72443,0.15526,0.00636
08/02/2016,0.17017,0.6437,0.14608,0.00581
09/02/2016,0.2089,0.76224,0.16954,0.00681
10/02/2016,0.23735,0.94451,0.21781,0.00799
11/02/2016,0.26653,1.35459,0.27326,0.00999
12/02/2016,0.2709,1.29496,0.23999,0.01399
13/02/2016,0.24172,1.18641,0.2149,0.00927
14/02/2016,0.21917,0.91733,0.17817,0.00672
15/02/2016,0.28108,1.75503,0.26499,0.00981
16/02/2016,0.25562,1.35777,0.23226,0.01009
17/02/2016,0.21844,0.9886,0.22308,0.01136
18/02/2016,0.21099,0.91279,0.21872,0.01181
19/02/2016,0.19608,0.77324,0.20581,0.0109
20/02/2016,0.16472,0.62498,0.16354,0.00799
21/02/2016,0.1799,0.92951,0.14863,0.00627
22/02/2016,0.21926,1.29477,0.2309,0.00809
23/02/2016,0.20472,1.08751,0.20208,0.00863
24/02/2016,0.19053,0.78843,0.21135,0.00999
25/02/2016,0.18144,0.70488,0.20117,0.01072
26/02/2016,0.17708,0.61043,0.20053,0.01099
27/02/2016,0.1439,0.4448,0.17072,0.00718
28/02/2016,0.13372,0.42498,0.1439,0.00654
29/02/2016,0.16799,0.52589,0.21381,0.00618
01/03/2016,0.14663,0.40371,0.17344,0.00754
02/03/2016,0.1459,0.44916,0.20008,0.00854
03/03/2016,0.12299,0.37035,0.16644,0.01099
04/03/2016,0.10772,0.37517,0.17772,0.01672
05/03/2016,0.11926,0.32389,0.16526,0.00945
06/03/2016,0.11826,0.31944,0.15717,0.00472
07/03/2016,0.14526,0.40835,0.21799,0.01072
08/03/2016,0.1319,0.34817,0.1989,0.00981
09/03/2016,0.1279,0.32789,0.18953,0.0109
10/03/2016,0.13945,0.26753,0.18672,0.01172
11/03/2016,0.21408,0.28317,0.16908,0.00972
12/03/2016,0.12781,0.24871,0.14281,0.0089
13/03/2016,0.14981,0.26499,0.13926,0.00836
14/03/2016,0.16235,0.36389,0.19708,0.01118
15/03/2016,0.15644,0.34489,0.19308,0.01163
16/03/2016,0.1559,0.32689,0.18781,0.00963
17/03/2016,0.15554,0.34471,0.18181,0.01236
18/03/2016,0.14417,0.49416,0.17563,0.01027
19/03/2016,0.1329,0.39907,0.15145,0.01154
20/03/2016,0.13863,0.39662,0.14408,0.00945
21/03/2016,0.16735,0.56989,0.21199,0.00963
22/03/2016,0.3788,0.5188,0.2139,0.01309
23/03/2016,0.17335,0.41671,0.20199,0.01236
24/03/2016,0.18126,0.43062,0.21072,0.01372
25/03/2016,0.16626,0.38089,0.20963,0.01463
26/03/2016,0.14972,0.34526,0.17572,0.00981
27/03/2016,0.18963,0.30744,0.16926,0.00827
28/03/2016,0.20944,0.4638,0.23108,0.01254
29/03/2016,0.18699,0.42253,0.22944,0.01418
30/03/2016,0.1729,0.40507,0.22672,0.01972
31/03/2016,0.17172,0.38026,0.22053,0.01181
01/04/2016,0.15026,0.3538,0.21399,0.00963
02/04/2016,0.13845,0.29408,0.19181,0.01472
03/04/2016,0.15781,0.28408,0.18781,0.02063
04/04/2016,0.17863,0.4138,0.25281,0.01572
05/04/2016,0.15635,0.35189,0.22935,0.03454
06/04/2016,0.14535,0.33144,0.22699,0.01763
07/04/2016,0.15317,0.2879,0.2259,0.01081
08/04/2016,0.12672,0.26317,0.21581,0.00981
09/04/2016,0.11854,0.22526,0.18072,0.00636
